City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Arkhangelskoye,RU,2022-02-05 22:55:09,55.8549,35.3287,16.14,95,100,8.52
67,Road Town,VG,2022-02-05 22:50:34,18.4167,-64.6167,73.49,100,40,13.8
68,Beinamar,TD,2022-02-05 22:55:10,8.6698,15.3813,71.46,18,55,4.94
69,Babu,CN,2022-02-05 22:55:10,24.4167,111.5167,46.35,85,99,2.84
70,Beatrice,US,2022-02-05 22:55:10,40.2681,-96.747,55.45,22,0,17.27
71,Luderitz,NA,2022-02-05 22:54:03,-26.6481,15.1594,66.96,81,91,9.22
72,Lebu,CL,2022-02-05 22:53:01,-37.6167,-73.65,60.76,78,10,20.56
73,Tonk,IN,2022-02-05 22:55:12,26.1667,75.7833,52.14,50,0,7.34
74,Sao Jose Da Coroa Grande,BR,2022-02-05 22:55:05,-8.8978,-35.1478,78.85,71,69,10.16
75,Qaanaaq,GL,2022-02-05 22:54:02,77.484,-69.3632,0.25,97,100,3.87
76,Yantal,RU,2022-02-05 22:55:13,56.8471,105.2542,21.52,94,100,9.93
77,Evensk,RU,2022-02-05 22:47:02,61.95,159.2333,16.63,44,11,23.17
78,Mar Del Plata,AR,2022-02-05 22:53:20,-38.0023,-57.5575,64.09,80,100,1.99
79,Bluff,NZ,2022-02-05 22:51:01,-46.6,168.3333,54.81,63,62,11.5
80,Gatesville,US,2022-02-05 22:55:14,31.4352,-97.7439,52.09,25,0,5.75
81,High Rock,BS,2022-02-05 22:55:14,26.6208,-78.2833,75.22,81,11,14.76
82,Suluq,LY,2022-02-05 22:55:14,31.6682,20.2521,54.75,70,20,7.9
83,Codrington,AU,2022-02-05 22:55:15,-38.2667,141.9667,68.74,53,61,11.63
84,Khani,GE,2022-02-05 22:55:15,41.9563,42.9566,24.37,95,100,4.18
85,Cabra,ES,2022-02-05 22:47:27,37.4725,-4.4421,54.39,73,26,3.58
86,Mafinga,TZ,2022-02-05 22:55:15,-7.25,35.0667,64.56,93,100,1.66
87,Port Lincoln,AU,2022-02-05 22:55:16,-34.7333,135.8667,74.55,56,98,16.93
88,Andenes,NO,2022-02-05 22:55:16,69.3143,16.1194,37.38,81,100,36.82
89,Provideniya,RU,2022-02-05 22:51:33,64.3833,-173.3,-3.26,85,2,10.0
90,Dongsheng,CN,2022-02-05 22:55:17,39.8161,109.9776,11.71,49,78,4.74
91,Agadez,NE,2022-02-05 22:55:17,19.75,10.25,53.92,27,0,2.86
92,Cherskiy,RU,2022-02-05 22:50:57,68.75,161.3,-32.44,97,19,1.23
93,Saint-Pierre,RE,2022-02-05 22:51:30,-21.3393,55.4781,80.28,69,0,6.91
94,Birmitrapur,IN,2022-02-05 22:55:17,22.4,84.7667,52.77,51,48,3.91
95,La Union,PE,2022-02-05 22:55:18,-5.4,-80.75,81.01,49,6,19.64
96,Highland Springs,US,2022-02-05 22:55:18,37.546,-77.3278,35.78,45,0,1.99
97,Tay Ninh,VN,2022-02-05 22:55:18,11.3,106.1,72.66,66,100,5.59
98,Thompson,CA,2022-02-05 22:50:28,55.7435,-97.8558,-9.24,59,75,3.44
99,Kysyl-Syr,RU,2022-02-05 22:55:19,63.8986,122.7617,-24.74,100,98,2.37
100,Stornoway,GB,2022-02-05 22:55:19,58.2093,-6.3865,33.93,92,40,3.0
101,Port Elizabeth,ZA,2022-02-05 22:52:56,-33.918,25.5701,69.1,94,40,16.11
102,Punta Alta,AR,2022-02-05 22:55:20,-38.8759,-62.0736,62.46,61,100,16.91
103,Walvis Bay,NA,2022-02-05 22:55:20,-22.9575,14.5053,68.95,83,66,6.91
104,Eresos,GR,2022-02-05 22:55:20,39.1667,25.9333,50.9,68,95,3.96
