City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,san quintin,MX,30.4833,-115.95,55.0,49,0,2.86,clear sky
82,arraial do cabo,BR,-22.9661,-42.0278,75.13,90,73,23.2,broken clouds
83,torbay,CA,47.6666,-52.7314,30.76,94,100,21.85,snow
84,seoul,KR,37.5683,126.9778,35.11,34,20,12.66,few clouds
85,hermanus,ZA,-34.4187,19.2345,81.9,59,96,4.14,overcast clouds
86,yumen,CN,40.2833,97.2,20.52,53,100,22.17,overcast clouds
87,new norfolk,AU,-42.7826,147.0587,70.92,39,0,1.01,clear sky
88,kaitangata,NZ,-46.2817,169.8464,54.93,58,0,4.59,clear sky
89,rafraf,TN,37.1904,10.1837,48.51,79,70,14.05,broken clouds
90,saskylakh,RU,71.9167,114.0833,-25.2,100,98,2.46,overcast clouds
91,solnechnyy,RU,50.7214,136.6319,7.23,95,100,2.44,overcast clouds
92,victoria,HK,22.2855,114.1577,67.96,71,99,3.0,overcast clouds
93,ushuaia,AR,-54.8,-68.3,46.06,61,20,6.91,few clouds
94,esperance,AU,-33.8667,121.9,105.64,36,4,11.56,clear sky
95,plettenberg bay,ZA,-34.0527,23.3716,76.86,55,0,6.98,clear sky
96,kotido,UG,2.9806,34.1331,76.66,39,100,0.47,overcast clouds
97,nuuk,GL,64.1835,-51.7216,-6.16,85,100,7.74,overcast clouds
98,katsuura,JP,35.1333,140.3,44.11,33,36,3.36,scattered clouds
99,burnie,AU,-41.0667,145.9167,70.95,50,0,7.02,clear sky
100,christchurch,NZ,-43.5333,172.6333,60.91,69,100,3.0,overcast clouds
101,harper,LR,4.375,-7.7169,77.74,84,59,3.78,light rain
102,upernavik,GL,72.7868,-56.1549,-2.36,97,100,4.76,overcast clouds
103,butaritari,KI,3.0707,172.7902,82.53,75,100,16.62,light rain
104,tasiilaq,GL,65.6145,-37.6368,7.38,64,100,6.91,overcast clouds
105,marsa matruh,EG,31.3525,27.2453,50.2,76,0,11.5,clear sky
106,kudahuvadhoo,MV,2.6708,72.8944,82.17,67,97,10.85,overcast clouds
107,mar del plata,AR,-38.0023,-57.5575,58.08,94,75,1.99,broken clouds
108,steinbach,DE,50.1667,8.5667,43.65,77,75,5.01,light rain
109,awjilah,LY,29.1081,21.2869,54.59,49,7,7.43,clear sky
110,longyearbyen,SJ,78.2186,15.6401,15.64,62,40,14.97,light shower snow
111,tchollire,CM,8.4022,14.1698,71.02,19,4,2.06,clear sky
112,lipari,IT,38.4674,14.954,55.54,75,100,0.74,overcast clouds
113,cabo san lucas,MX,22.8909,-109.9124,60.62,75,7,8.01,clear sky
114,pisco,PE,-13.7,-76.2167,66.02,94,0,3.44,clear sky
115,santiago,CL,-33.4569,-70.6483,71.85,46,0,3.44,clear sky
116,enshi,CN,30.3,109.4833,36.3,97,100,2.93,light rain
117,dergachi,RU,51.2328,48.7659,22.32,95,100,4.74,overcast clouds
118,virginia beach,US,36.8529,-75.978,32.05,62,0,5.01,clear sky
119,thompson,CA,55.7435,-97.8558,-32.64,75,0,2.3,clear sky
120,jamestown,US,42.097,-79.2353,15.39,87,20,1.99,few clouds
121,martapura,ID,-3.4167,114.85,89.69,62,40,5.75,scattered clouds
122,severo-kurilsk,RU,50.6789,156.125,27.93,78,100,20.27,overcast clouds
123,georgetown,MY,5.4112,100.3354,89.55,68,20,1.01,few clouds
124,dikson,RU,73.5069,80.5464,-22.97,100,100,4.74,overcast clouds
125,saint-gabriel,CA,46.3001,-73.3824,0.59,100,77,3.2,broken clouds
126,carutapera,BR,-1.195,-46.02,75.27,94,100,5.46,overcast clouds
127,sao filipe,CV,14.8961,-24.4956,71.46,72,0,10.45,clear sky
128,berlevag,NO,70.8578,29.0864,24.6,83,58,26.93,broken clouds
129,pinotepa nacional,MX,16.3167,-98.0167,68.97,85,6,3.76,clear sky
130,naze,JP,28.3667,129.4833,50.92,66,100,14.41,overcast clouds
131,ponta do sol,PT,32.6667,-17.1,65.12,55,39,14.07,scattered clouds
132,nanortalik,GL,60.1432,-45.2371,11.19,53,100,11.59,overcast clouds
133,walvis bay,NA,-22.9575,14.5053,67.15,88,42,2.3,scattered clouds
134,pulandian,CN,39.3953,121.9669,33.93,34,99,13.49,overcast clouds
135,mackay,AU,-21.15,149.2,80.58,69,100,23.02,overcast clouds
136,kloulklubed,PW,7.0419,134.2556,81.9,78,30,21.18,light rain
137,myitkyina,MM,25.3833,97.4,66.11,71,70,3.24,broken clouds
138,jati,PK,24.3539,68.2671,77.61,36,0,7.78,clear sky
139,saint-philippe,RE,-21.3585,55.7679,85.59,78,100,20.45,light rain
140,corinth,GR,37.9407,22.9573,54.63,84,99,1.3,overcast clouds
141,diamantino,BR,-14.4086,-56.4461,71.67,95,93,1.99,overcast clouds
142,sinnamary,GF,5.3833,-52.95,76.82,89,100,8.81,light rain
143,kavieng,PG,-2.5744,150.7967,83.35,75,99,9.64,light rain
144,arlit,NE,18.7369,7.3853,59.22,18,0,9.17,clear sky
145,kodiak,US,57.79,-152.4072,38.71,81,100,13.8,light rain
146,cayenne,GF,4.9333,-52.3333,80.1,85,75,5.01,broken clouds
147,saint george,US,37.1041,-113.5841,46.35,37,0,1.99,clear sky
148,avarua,CK,-21.2078,-159.775,77.05,83,75,6.91,broken clouds
149,pevek,RU,69.7008,170.3133,-25.73,99,31,2.42,scattered clouds
150,buchanan,LR,5.8808,-10.0467,76.96,84,65,1.57,light rain
151,tura,IN,25.5198,90.2201,66.85,46,0,4.0,clear sky
152,bentiu,SS,9.2333,29.8333,74.8,11,1,11.81,clear sky
153,vostok,RU,46.4856,135.8833,1.49,90,100,6.04,overcast clouds
154,boa vista,BR,2.8197,-60.6733,80.58,69,75,6.91,broken clouds
155,carballo,ES,43.213,-8.691,40.51,93,100,2.64,overcast clouds
156,korem,ET,12.5058,39.5228,58.06,67,100,6.89,overcast clouds
157,oranjemund,NA,-28.55,16.4333,67.73,78,94,3.69,overcast clouds
158,lasa,IT,46.6166,10.7002,35.06,44,100,3.83,overcast clouds
159,uray,RU,60.1247,64.7758,15.33,95,84,7.81,broken clouds
160,lorengau,PG,-2.0226,147.2712,83.43,75,97,11.59,overcast clouds
161,uyuni,BO,-20.4597,-66.825,48.34,63,100,5.26,overcast clouds
162,hammerfest,NO,70.6634,23.6821,30.65,69,45,12.66,scattered clouds
163,wladyslawowo,PL,54.7909,18.4009,38.01,96,100,23.96,overcast clouds
164,yerbogachen,RU,61.2767,108.0108,12.11,92,100,5.88,overcast clouds
165,salinas,US,36.6777,-121.6555,55.38,73,0,5.26,clear sky
166,novosheshminsk,RU,55.0651,51.2338,19.24,96,96,2.19,overcast clouds
167,awbari,LY,26.5921,12.7805,50.5,33,99,8.5,overcast clouds
168,llandrindod wells,GB,52.2416,-3.3787,48.92,91,100,29.97,moderate rain
169,samana,DO,19.2056,-69.3369,70.99,88,26,10.29,scattered clouds
170,manokwari,ID,-0.8667,134.0833,83.19,70,98,7.4,overcast clouds
171,hohhot,CN,40.8106,111.6522,28.69,26,0,6.71,clear sky
172,pineville,US,31.3224,-92.4343,31.98,81,0,3.2,clear sky
173,talaya,RU,61.3833,152.75,-28.97,89,23,1.48,few clouds
174,cidreira,BR,-30.1811,-50.2056,71.67,92,8,8.16,clear sky
175,rawson,AR,-43.3002,-65.1023,60.64,53,100,10.96,overcast clouds
176,chuy,UY,-33.6971,-53.4616,63.95,90,85,8.21,overcast clouds
177,phetchabun,TH,16.25,101.0833,92.44,35,81,5.82,broken clouds
178,souillac,MU,-20.5167,57.5167,84.58,74,75,16.11,broken clouds
179,clyde river,CA,70.4692,-68.5914,-32.57,68,40,2.3,scattered clouds
180,yeppoon,AU,-23.1333,150.7333,82.18,59,4,22.57,clear sky
181,hasaki,JP,35.7333,140.8333,46.29,30,99,14.58,overcast clouds
182,nikolskoye,RU,59.7035,30.7861,26.49,97,89,5.48,overcast clouds
183,ulaanbaatar,MN,47.9077,106.8832,8.73,56,98,4.47,overcast clouds
184,faanui,PF,-16.4833,-151.75,81.36,74,19,20.78,few clouds
185,provideniya,RU,64.3833,-173.3,-3.24,73,0,13.31,clear sky
186,leiva,CO,1.9339,-77.3025,61.39,99,98,1.28,moderate rain
187,kolo,PL,52.2002,18.6387,37.89,96,100,19.24,overcast clouds
188,bethel,US,41.3712,-73.414,17.56,69,0,0.0,clear sky
189,segezha,RU,63.7415,34.3222,14.38,94,100,12.41,light snow
190,linjiang,CN,41.8069,126.9078,16.39,68,100,8.08,overcast clouds
191,hamilton,US,39.1834,-84.5333,17.89,90,0,3.44,mist
192,port hedland,AU,-20.3167,118.5667,91.45,66,7,23.02,clear sky
193,yellowknife,CA,62.456,-114.3525,-19.68,76,20,8.05,few clouds
194,hilo,US,19.7297,-155.09,71.33,89,75,5.75,broken clouds
195,leningradskiy,RU,69.3833,178.4167,-22.38,98,24,3.91,few clouds
